"Common name","Scientific name","Taxon ID","Ensembl Assembly","Accession","Genebuild Method","Variation database","Regulation database"
"S. cerevisiae","Saccharomyces cerevisiae","559292","R64-1-1","GCA_000146045.2","Import","Y","Y"
"Sailfin molly","Poecilia latipinna","48699","P_latipinna-1.0","GCA_001443285.1","Full genebuild","-","-"
"Sheep","Ovis aries","9940","Oar_rambouillet_v1.0","GCA_002742125.1","Full genebuild","Y","-"
"Sheep (texel)","Ovis aries","9940","Oar_v3.1","GCA_000298735.1","Mixed strategy build","Y","-"
"Sheepshead minnow","Cyprinodon variegatus","28743","C_variegatus-1.0","GCA_000732505.1","Full genebuild","-","Y"
"Shortfin molly","Poecilia mexicana","48701","P_mexicana-1.0","GCA_001443325.1","Full genebuild","-","-"
"Shrew","Sorex araneus","42254","sorAra1","-","Projection build","-","-"
"Shrew mouse","Mus pahari","10093","PAHARI_EIJ_v1.1","GCA_900095145.2","External annotation import","-","-"
"Siamese fighting fish","Betta splendens","158456","fBetSpl5.2","GCA_900634795.2","Full genebuild","-","-"
"Siberian musk deer","Moschus moschiferus","68415","MosMos_v2_BIUU_UCD","GCA_004024705.2","Full genebuild","-","-"
"Silver-eye","Zosterops lateralis melanops","1220523","ASM128173v1","GCA_001281735.1","Full genebuild","-","-"
"Sloth","Choloepus hoffmanni","9358","choHof1","-","Projection build","-","-"
"Small tree finch","Camarhynchus parvulus","87175","STF_HiC","GCA_901933205.1","Full genebuild","-","-"
"Sooty mangabey","Cercocebus atys","9531","Caty_1.0","GCA_000955945.1","Full genebuild","-","Y"
"Sperm whale","Physeter catodon","9755","ASM283717v2","GCA_002837175.2","Full genebuild","-","-"
"Spiny chromis","Acanthochromis polyacanthus","80966","ASM210954v1","GCA_002109545.1","Full genebuild","-","-"
"Spoon-billed sandpiper","Calidris pygmaea","425635","ASM369795v1","GCA_003697955.1","Full genebuild","-","-"
"Spotted gar","Lepisosteus oculatus","7918","LepOcu1","GCA_000242695.1","Full genebuild","-","-"
"Squirrel","Ictidomys tridecemlineatus","43179","SpeTri2.0","GCA_000236235.1","Full genebuild","-","-"
"Steppe mouse","Mus spicilegus","10103","MUSP714","GCA_003336285.1","Full genebuild","-","-"
"Stickleback","Gasterosteus aculeatus","69293","BROAD S1","-","Full genebuild","-","-"
"Sumatran orangutan","Pongo abelii","9601","Susie_PABv2","GCA_002880775.3","Full genebuild","Y","-"
"Superb fairywren","Malurus cyaneus samueli","2593467","mCya_1.0","GCA_009741485.1","Full genebuild","-","-"
"Swainson's thrush","Catharus ustulatus","91951","bCatUst1.pri","GCA_009819885.1","Full genebuild","-","-"
"Swamp eel","Monopterus albus","43700","M_albus_1.0","GCA_001952655.1","Full genebuild","-","-"
"Swan goose","Anser cygnoides","8845","GooseV1.0","GCA_002166845.1","Full genebuild","-","-"
"Tarsier","Carlito syrichta","1868482","Tarsius_syrichta-2.0.1","GCA_000164805.2","Full genebuild","-","Y"
"Tasmanian devil","Sarcophilus harrisii","9305","mSarHar1.11","GCA_902635505.1","Full genebuild","-","-"
"Tetraodon","Tetraodon nigroviridis","99883","TETRAODON 8.0","-","Full genebuild","Y","-"
"Three-toed box turtle","Terrapene carolina triunguis","2587831","T_m_triunguis-2.0","GCA_002925995.2","Full genebuild","-","-"
"Tiger","Panthera tigris altaica","74533","PanTig1.0","GCA_000464555.1","Full genebuild","-","-"
"Tiger tail seahorse","Hippocampus comes","109280","H_comes_QL1_v1","GCA_001891065.1","Full genebuild","-","-"
"Tongue sole","Cynoglossus semilaevis","244447","Cse_v1.0","GCA_000523025.1","Full genebuild","-","-"
"Tree Shrew","Tupaia belangeri","37347","tupBel1","-","Projection build","-","-"
"Tropical clawed frog","Xenopus tropicalis","8364","Xenopus_tropicalis_v9.1","GCA_000004195.3","Full genebuild","-","Y"
"Tuatara","Sphenodon punctatus","8508","ASM311381v1","GCA_003113815.1","Full genebuild","-","-"
"Turbot","Scophthalmus maximus","52904","ASM1334776v1","GCA_013347765.1","Full genebuild","-","Y"
"Turkey","Meleagris gallopavo","9103","Turkey_5.1","GCA_000146605.4","Full genebuild","Y","-"
"Turquoise killifish","Nothobranchius furzeri","105023","Nfu_20140520","GCA_001465895.2","Full genebuild","-","-"
"Ugandan red Colobus","Piliocolobus tephrosceles","591936","ASM277652v2","GCA_002776525.2","Full genebuild","-","Y"
"Upper Galilee mountains blind mole rat","Nannospalax galili","1026970","S.galili_v1.0","GCA_000622305.1","Full genebuild","-","Y"
"Vaquita","Phocoena sinus","42100","mPhoSin1.pri","GCA_008692025.1","Full genebuild","-","-"
"Vervet-AGM","Chlorocebus sabaeus","60711","ChlSab1.1","GCA_000409795.2","Full genebuild","Y","-"
"Wallaby","Notamacropus eugenii","9315","Meug_1.0","GCA_000004035.1","Projection build","-","-"
"West African mud turtle","Pelusios castaneus","367368","Pelusios_castaneus-1.0","GCA_007922175.1","Full genebuild","-","-"
"Western mosquitofish","Gambusia affinis","33528","ASM309773v1","GCA_003097735.1","Full genebuild","-","-"
"White-throated sparrow","Zonotrichia albicollis","44394","Zonotrichia_albicollis-1.0.1","GCA_000385455.1","Full genebuild","-","-"
"White-tufted-ear marmoset","Callithrix jacchus","9483","mCalJac1.pat.X","GCA_011100555.1","Full genebuild","-","Y"
"Wild yak","Bos mutus","72004","BosGru_v2.0","GCA_000298355.1","Full genebuild","-","-"
"Yarkand deer","Cervus hanglu yarkandensis","84702","CEY_v1","GCA_010411085.1","Full genebuild","-","-"
"Yellow-billed parrot","Amazona collaria","241587","ASM394721v1","GCA_003947215.1","Full genebuild","-","-"
"Yellowtail amberjack","Seriola lalandi dorsalis","1841481","Sedor1","GCA_002814215.1","Full genebuild","-","-"
"Zebra finch","Taeniopygia guttata","59729","bTaeGut1_v1.p","GCA_003957565.2","Full genebuild","Y","-"
"Zebra mbuna","Maylandia zebra","106582","M_zebra_UMD2a","GCA_000238955.5","Full genebuild","-","-"
"Zebrafish","Danio rerio","7955","GRCz11","GCA_000002035.4","Full genebuild","Y","Y"
"Zig-zag eel","Mastacembelus armatus","205130","fMasArm1.2","GCA_900324485.2","Full genebuild","-","-"
